"Op","Mnemonic","Opcode","Size","Latency","C","P","A","Z","S","T","I","D","O"
"SHR","shr register16,CL "," d3 /5 "," 2-4 "," 4 + (n-1)","M","M",,"M","M",,,,"M"
"SHR","shr memory16,CL "," d3 /5 "," 2-4 "," 11 + (n-1)","M","M",,"M","M",,,,"M"
"STC","stc "," f9 ",1,1,1,,,,,,,,
"STD","std "," fd ",1,1,,,,,,,,1,
"STI","sti "," fb ",1,1,,,,,,,1,,
"STOS","stos AL "," aa ",1,12,,,,,,,,,
"STOS","stos AX "," ab ",1,9,,,,,,,,,
"SUB","sub register8,register8 "," 28 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"SUB","sub memory8,register8 "," 28 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"SUB","sub register16,register16 "," 29 /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"SUB","sub memory16,register16 "," 29 /r "," 2-4 ",8,"M","M","M","M","M",,,,"M"
"SUB","sub register8,register8 "," 2a /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"SUB","sub register8,memory8 "," 2a /r "," 2-4 ",5,"M","M","M","M","M",,,,"M"
"SUB","sub register16,register16 "," 2b /r "," 2-4 ",2,"M","M","M","M","M",,,,"M"
"SUB","sub register16,memory16 "," 2b /r "," 2-4 ",5,"M","M","M","M","M",,,,"M"
"SUB","sub AL,immediate8 "," 2c Ib ",2,2,"M","M","M","M","M",,,,"M"
"SUB","sub AX,immediate16 "," 2d Iw ",3,2,"M","M","M","M","M",,,,"M"
"SUB","sub register8,immediate8 "," 80 /5 Ib "," 3-5 ",3,"M","M","M","M","M",,,,"M"
"SUB","sub memory8,immediate8 "," 80 /5 Ib "," 3-5 ",9,"M","M","M","M","M",,,,"M"
"SUB","sub register16,immediate16 "," 81 /5 Iw "," 4-6 ",3,"M","M","M","M","M",,,,"M"
"SUB","sub memory16, immediate16","81 /5 Iw"," 4-6 ",9,"M","M","M","M","M",,,,"M"
"SUB","sub register8,immediate8 ","82 /5 Ib"," 3-5 ",3,"M","M","M","M","M",,,,"M"
"SUB","sub memory8,immediate8 ","82 /5  Ib "," 3-5 ",9,"M","M","M","M","M",,,,"M"
"SUB","sub register16,immediate8 ","83 /5 Ib"," 3-5 ",4,"M","M","M","M","M",,,,"M"
"SUB","sub memory16,immediate8 "," 83 /5 Ib "," 3-5 ",11,"M","M","M","M","M",,,,"M"
"TEST","test register8,register8 "," 84 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"TEST","test register8,memory8 "," 84 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"TEST","test register16,register16 "," 85 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"TEST","test register16,memory16 "," 85 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"TEST","test AL,immediate8"," a8 Ib ",2,2,"M","M",,"M","M",,,,"M"
"TEST","test AX,immediate16 "," a9 Iw",3,2,"M","M",,"M","M",,,,"M"
"TEST","test register8,immediate8 "," f6 /0 Ib"," 3-5 ",3,"M","M",,"M","M",,,,"M"
"TEST","test memory8,immediate8 "," f6 /0 Ib"," 3-5 ",6,"M","M",,"M","M",,,,"M"
"TEST","test register8,immediate8 "," f6 /1 Ib "," 3-5 ",3,"M","M",,"M","M",,,,"M"
"TEST","test memory8,immediate8 "," f6 /1 Ib "," 3-5 ",6,"M","M",,"M","M",,,,"M"
"TEST","test register16,immediate16 "," f7 /0 Iw "," 4-6 ",3,"M","M",,"M","M",,,,"M"
"TEST","test memory16,immediate16 "," f7 /0 Iw "," 4-6 ",6,"M","M",,"M","M",,,,"M"
"TEST","test register16,immediate16 "," f7 /1 Iw "," 4-6 ",3,"M","M",,"M","M",,,,"M"
"TEST","test memory16,immediate16"," f7 /1 Iw"," 4-6 ",6,"M","M",,"M","M",,,,"M"
"WAIT","wait "," 9b ",1,"-",,,,,,,,,
"XCHG","xchg register8,register8 "," 86 /r "," 2-4 ",4,,,,,,,,,
"XCHG","xchg register8,memory8 "," 86 /r "," 2-4 ",11,,,,,,,,,
"XCHG","xchg register16,register16 "," 87 /r "," 2-4 ",4,,,,,,,,,
"XCHG","xchg register16,memory16 "," 87 /r "," 2-4 ",11,,,,,,,,,
"XCHG","xchg CX,AX ",91,1,4,,,,,,,,,
"XCHG","xchg DX,AX ",92,1,4,,,,,,,,,
"XCHG","xchg BX,AX ",93,1,4,,,,,,,,,
"XCHG","xchg SP,AX ",94,1,4,,,,,,,,,
"XCHG","xchg BP,AX ",95,1,4,,,,,,,,,
"XCHG","xchg SI,AX ",96,1,4,,,,,,,,,
"XCHG","xchg DI,AX ",97,1,4,,,,,,,,,
"XLAT","xlat AL,BX "," d7 ",1,8,,,,,,,,,
"XOR","xor register8,register8 "," 30 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"XOR","xor memory8,register8 "," 30 /r "," 2-4 ",8,"M","M",,"M","M",,,,"M"
"XOR","xor register16,register16 "," 31 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"XOR","xor memory16,register16 "," 31 /r "," 2-4 ",8,"M","M",,"M","M",,,,"M"
"XOR","xor register8,register8 "," 32 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"XOR","xor register8,memory8 ","32 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"XOR","xor register16,register16 ","33 /r "," 2-4 ",2,"M","M",,"M","M",,,,"M"
"XOR","xor register16,memory16 ","33 /r "," 2-4 ",5,"M","M",,"M","M",,,,"M"
"XOR","xor AL,immediate8 "," 34 Ib ",2,2,"M","M",,"M","M",,,,"M"
"XOR","xor AX,immediate16 "," 35 Iw ",3,2,"M","M",,"M","M",,,,"M"
"XOR","xor register8,immediate8 "," 80 /6 Ib "," 3-5 ",3,"M","M",,"M","M",,,,"M"
"XOR","xor memory8,immediate8 "," 80 /6 Ib "," 3-5 ",9,"M","M",,"M","M",,,,"M"
"XOR","xor register16,immediate16 "," 81 /6 Iw "," 4-6 ",3,"M","M",,"M","M",,,,"M"
"XOR","xor memory16,immediate16","81 /6 Iw"," 4-6 ",9,"M","M",,"M","M",,,,"M"
"XOR","xor register8,immediate8 ","82 /6 Ib"," 3-5 ",3,"M","M",,"M","M",,,,"M"
"XOR","xor memory8,immediate8 ","82 /6 Ib"," 3-5 ",9,"M","M",,"M","M",,,,"M"
"XOR","xor register16,immediate8 ","83 /6 Ib"," 3-5 ",4,"M","M",,"M","M",,,,"M"
"XOR","xor memory16,immediate8 "," 83 /6 Ib "," 3-5 ",11,"M","M",,"M","M",,,,"M"
