"Binary","Octal","Hex","Op","Args"
" 11111100 "," 374 "," fc "," CLD   "," "
" 11111101 "," 375 "," fd "," STD   "," "
" 11111110 11000000 "," 376 300 "," fe c0 "," INC   "," AL"
" 11111110 11000001 "," 376 301 "," fe c1 "," INC   "," CL"
" 11111110 11000010 "," 376 302 "," fe c2 "," INC   "," DL"
" 11111110 11000011 "," 376 303 "," fe c3 "," INC   "," BL"
" 11111110 11000100 "," 376 304 "," fe c4 "," INC   "," AH"
" 11111110 11000101 "," 376 305 "," fe c5 "," INC   "," CH"
" 11111110 11000110 "," 376 306 "," fe c6 "," INC   "," DH"
" 11111110 11000111 "," 376 307 "," fe c7 "," INC   "," BH"
" 11111110 11001100 "," 376 314 "," fe cc "," DEC   "," AH"
" 11111111 11010000 "," 377 320 "," ff d0 "," CALL  "," AX"
" 11111111 11010001 "," 377 321 "," ff d1 "," CALL  "," CX"
" 11111111 11010010 "," 377 322 "," ff d2 "," CALL  "," DX"
" 11111111 11010011 "," 377 323 "," ff d3 "," CALL  "," BX"
" 11111111 11010100 "," 377 324 "," ff d4 "," CALL  "," SP"
" 11111111 11010101 "," 377 325 "," ff d5 "," CALL  "," BP"
" 11111111 11010110 "," 377 326 "," ff d6 "," CALL  "," SI"
" 11111111 11010111 "," 377 327 "," ff d7 "," CALL  "," DI"
" 11111111 11100000 "," 377 340 "," ff e0 "," JMP   "," AX"
" 11111111 11100001 "," 377 341 "," ff e1 "," JMP   "," CX"
" 11111111 11100010 "," 377 342 "," ff e2 "," JMP   "," DX"
" 11111111 11100011 "," 377 343 "," ff e3 "," JMP   "," BX"
" 11111111 11100100 "," 377 344 "," ff e4 "," JMP   "," SP"
" 11111111 11100101 "," 377 345 "," ff e5 "," JMP   "," BP"
" 11111111 11100110 "," 377 346 "," ff e6 "," JMP   "," SI"
" 11111111 11100111 "," 377 347 "," ff e7 "," JMP   "," DI"
