"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Win","6800","00000","03","680011","PUSH","1100","-01"
"Win","6900","00000","04","69001100","IMUL","AX,Word Ptr [BX+SI],0011","-02"
"Win","6A00","00000","02","6A00","PUSH","00","00"
"Win","6B00","00000","03","6B0011","IMUL","AX,Word Ptr [BX+SI],11","-01"
"Win","6C00","00000","01","6C","INSB","","01"
"Win","6D00","00000","01","6D","INSW","","01"
"Win","6E00","00000","01","6E","OUTSB","","01"
"Win","6F00","00000","01","6F","OUTSW","","01"
"Win","7000","00000","02","7000","JO","0002","00"
"Win","7100","00000","02","7100","JNO","0002","00"
"Win","7200","00000","02","7200","JB","0002","00"
"Win","7300","00000","02","7300","JNB","0002","00"
"Win","7400","00000","02","7400","JZ","0002","00"
"Win","7500","00000","02","7500","JNZ","0002","00"
"Win","7600","00000","02","7600","JBE","0002","00"
"Win","7700","00000","02","7700","JA","0002","00"
"Win","7800","00000","02","7800","JS","0002","00"
"Win","7900","00000","02","7900","JNS","0002","00"
"Win","7A00","00000","02","7A00","JPE","0002","00"
"Win","7B00","00000","02","7B00","JPO","0002","00"
"Win","7C00","00000","02","7C00","JL","0002","00"
"Win","7D00","00000","02","7D00","JGE","0002","00"
"Win","7E00","00000","02","7E00","JLE","0002","00"
"Win","7F00","00000","02","7F00","JG","0002","00"
"Win","8000","00000","03","800011","ADD","Byte Ptr [BX+SI],11","-01"
"Win","8100","00000","04","81001100","ADD","Word Ptr [BX+SI],0011","-02"
"Win","8200","00000","03","820011","ADD","Byte Ptr [BX+SI],11","-01"
"Win","8300","00000","03","830011","ADD","Word Ptr [BX+SI],+11","-01"
"Win","8400","00000","02","8400","TEST","Byte Ptr [BX+SI],AL","00"
"Win","8500","00000","02","8500","TEST","Word Ptr [BX+SI],AX","00"
"Win","8600","00000","02","8600","XCHG","Byte Ptr [BX+SI],AL","00"
"Win","8700","00000","02","8700","XCHG","Word Ptr [BX+SI],AX","00"
"Win","8800","00000","02","8800","MOV","Byte Ptr [BX+SI],AL","00"
"Win","8900","00000","02","8900","MOV","Word Ptr [BX+SI],AX","00"
"Win","8A00","00000","02","8A00","MOV","AL,Byte Ptr [BX+SI]","00"
"Win","8B00","00000","02","8B00","MOV","AX,Word Ptr [BX+SI]","00"
"Win","8C00","00000","02","8C00","MOV","Word Ptr [BX+SI],ES","00"
"Win","8D00","00000","02","8D00","LEA","AX,[BX+SI]","00"
"Win","8E00","00000","02","8E00","MOV","ES,Word Ptr [BX+SI]","00"
"Win","8F00","00000","02","8F00","POP","Word Ptr [BX+SI]","00"
"Win","9000","00000","01","90","NOP","","01"
"Win","9100","00000","01","91","XCHG","AX,CX","01"
"Win","9200","00000","01","92","XCHG","AX,DX","01"
"Win","9300","00000","01","93","XCHG","AX,BX","01"
"Win","9400","00000","01","94","XCHG","AX,SP","01"
"Win","9500","00000","01","95","XCHG","AX,BP","01"
"Win","9600","00000","01","96","XCHG","AX,SI","01"
"Win","9700","00000","01","97","XCHG","AX,DI","01"
"Win","9800","00000","01","98","CBW","","01"
"Win","9900","00000","01","99","CWD","","01"
"Win","9A00","00000","05","9A001100C8","CALL","C800:1100","-03"
"Win","9B00","00000","01","9B","WAIT","","01"
"Win","9C00","00000","01","9C","PUSHF","","01"
"Win","9D00","00000","01","9D","POPF","","01"
"Win","9E00","00000","01","9E","SAHF","","01"
