"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Gnu","6900","00000","01","69",".byte","0x69","01"
"Gnu","6A00","00000","02","6A00","push","0x0","00"
"Gnu","6B00","00000","01","6B",".byte","0x6b","01"
"Gnu","6C00","00000","01","6C","ins","BYTE PTR es:[di],dx","01"
"Gnu","6D00","00000","01","6D","ins","WORD PTR es:[di],dx","01"
"Gnu","6E00","00000","01","6E","outs","dx,BYTE PTR ds:[si]","01"
"Gnu","6F00","00000","01","6F","outs","dx,WORD PTR ds:[si]","01"
"Gnu","7000","00000","02","7000","jo","0x2","00"
"Gnu","7100","00000","02","7100","jno","0x2","00"
"Gnu","7200","00000","02","7200","jb","0x2","00"
"Gnu","7300","00000","02","7300","jae","0x2","00"
"Gnu","7400","00000","02","7400","je","0x2","00"
"Gnu","7500","00000","02","7500","jne","0x2","00"
"Gnu","7600","00000","02","7600","jbe","0x2","00"
"Gnu","7700","00000","02","7700","ja","0x2","00"
"Gnu","7800","00000","02","7800","js","0x2","00"
"Gnu","7900","00000","02","7900","jns","0x2","00"
"Gnu","7A00","00000","02","7A00","jp","0x2","00"
"Gnu","7B00","00000","02","7B00","jnp","0x2","00"
"Gnu","7C00","00000","02","7C00","jl","0x2","00"
"Gnu","7D00","00000","02","7D00","jge","0x2","00"
"Gnu","7E00","00000","02","7E00","jle","0x2","00"
"Gnu","7F00","00000","02","7F00","jg","0x2","00"
"Gnu","8000","00000","01","80",".byte","0x80","01"
"Gnu","8100","00000","01","81",".byte","0x81","01"
"Gnu","8200","00000","01","82",".byte","0x82","01"
"Gnu","8300","00000","01","83",".byte","0x83","01"
"Gnu","8400","00000","02","8400","test","BYTE PTR [bx+si],al","00"
"Gnu","8500","00000","02","8500","test","WORD PTR [bx+si],ax","00"
"Gnu","8600","00000","02","8600","xchg","BYTE PTR [bx+si],al","00"
"Gnu","8700","00000","02","8700","xchg","WORD PTR [bx+si],ax","00"
"Gnu","8800","00000","02","8800","mov","BYTE PTR [bx+si],al","00"
"Gnu","8900","00000","02","8900","mov","WORD PTR [bx+si],ax","00"
"Gnu","8A00","00000","02","8A00","mov","al,BYTE PTR [bx+si]","00"
"Gnu","8B00","00000","02","8B00","mov","ax,WORD PTR [bx+si]","00"
"Gnu","8C00","00000","02","8C00","mov","WORD PTR [bx+si],es","00"
"Gnu","8D00","00000","02","8D00","lea","ax,[bx+si]","00"
"Gnu","8E00","00000","02","8E00","mov","es,WORD PTR [bx+si]","00"
"Gnu","8F00","00000","02","8F00","pop","WORD PTR [bx+si]","00"
"Gnu","9000","00000","01","90","nop","","01"
"Gnu","9100","00000","01","91","xchg","cx,ax","01"
"Gnu","9200","00000","01","92","xchg","dx,ax","01"
"Gnu","9300","00000","01","93","xchg","bx,ax","01"
"Gnu","9400","00000","01","94","xchg","sp,ax","01"
"Gnu","9500","00000","01","95","xchg","bp,ax","01"
"Gnu","9600","00000","01","96","xchg","si,ax","01"
"Gnu","9700","00000","01","97","xchg","di,ax","01"
"Gnu","9800","00000","01","98","cbw","","01"
"Gnu","9900","00000","01","99","cwd","","01"
"Gnu","9A00","00000","01","9A",".byte","0x9a","01"
"Gnu","9B00","00000","01","9B","fwait","","01"
"Gnu","9C00","00000","01","9C","pushf","","01"
"Gnu","9D00","00000","01","9D","popf","","01"
"Gnu","9E00","00000","01","9E","sahf","","01"
"Gnu","9F00","00000","01","9F","lahf","","01"
