"App","Input","Offset","Count","Hex","Op","Arg","Left"
"Nasm","7200","00000","02","7200","jc","0x2","00"
"Nasm","7300","00000","02","7300","jnc","0x2","00"
"Nasm","7400","00000","02","7400","jz","0x2","00"
"Nasm","7500","00000","02","7500","jnz","0x2","00"
"Nasm","7600","00000","02","7600","jna","0x2","00"
"Nasm","7700","00000","02","7700","ja","0x2","00"
"Nasm","7800","00000","02","7800","js","0x2","00"
"Nasm","7900","00000","02","7900","jns","0x2","00"
"Nasm","7A00","00000","02","7A00","jpe","0x2","00"
"Nasm","7B00","00000","02","7B00","jpo","0x2","00"
"Nasm","7C00","00000","02","7C00","jl","0x2","00"
"Nasm","7D00","00000","02","7D00","jnl","0x2","00"
"Nasm","7E00","00000","02","7E00","jng","0x2","00"
"Nasm","7F00","00000","02","7F00","jg","0x2","00"
"Nasm","8000","00000","01","80","db","0x80","01"
"Nasm","8100","00000","01","81","db","0x81","01"
"Nasm","8200","00000","01","82","db","0x82","01"
"Nasm","8300","00000","01","83","db","0x83","01"
"Nasm","8400","00000","02","8400","test","[bx+si],al","00"
"Nasm","8500","00000","02","8500","test","[bx+si],ax","00"
"Nasm","8600","00000","02","8600","xchg","al,[bx+si]","00"
"Nasm","8700","00000","02","8700","xchg","ax,[bx+si]","00"
"Nasm","8800","00000","02","8800","mov","[bx+si],al","00"
"Nasm","8900","00000","02","8900","mov","[bx+si],ax","00"
"Nasm","8A00","00000","02","8A00","mov","al,[bx+si]","00"
"Nasm","8B00","00000","02","8B00","mov","ax,[bx+si]","00"
"Nasm","8C00","00000","02","8C00","mov","[bx+si],es","00"
"Nasm","8D00","00000","02","8D00","lea","ax,[bx+si]","00"
"Nasm","8E00","00000","02","8E00","mov","es,[bx+si]","00"
"Nasm","8F00","00000","02","8F00","pop","word [bx+si]","00"
"Nasm","9000","00000","01","90","nop","","01"
"Nasm","9100","00000","01","91","xchg","ax,cx","01"
"Nasm","9200","00000","01","92","xchg","ax,dx","01"
"Nasm","9300","00000","01","93","xchg","ax,bx","01"
"Nasm","9400","00000","01","94","xchg","ax,sp","01"
"Nasm","9500","00000","01","95","xchg","ax,bp","01"
"Nasm","9600","00000","01","96","xchg","ax,si","01"
"Nasm","9700","00000","01","97","xchg","ax,di","01"
"Nasm","9800","00000","01","98","cbw","","01"
"Nasm","9900","00000","01","99","cwd","","01"
"Nasm","9A00","00000","01","9A","db","0x9a","01"
"Nasm","9B00","00000","01","9B","wait","","01"
"Nasm","9C00","00000","01","9C","pushf","","01"
"Nasm","9D00","00000","01","9D","popf","","01"
"Nasm","9E00","00000","01","9E","sahf","","01"
"Nasm","9F00","00000","01","9F","lahf","","01"
"Nasm","A000","00000","01","A0","db","0xa0","01"
"Nasm","A100","00000","01","A1","db","0xa1","01"
"Nasm","A200","00000","01","A2","db","0xa2","01"
"Nasm","A300","00000","01","A3","db","0xa3","01"
"Nasm","A400","00000","01","A4","movsb","","01"
"Nasm","A500","00000","01","A5","movsw","","01"
"Nasm","A600","00000","01","A6","cmpsb","","01"
"Nasm","A700","00000","01","A7","cmpsw","","01"
"Nasm","A800","00000","02","A800","test","al,0x0","00"
"Nasm","A900","00000","01","A9","db","0xa9","01"
"Nasm","AA00","00000","01","AA","stosb","","01"
"Nasm","AB00","00000","01","AB","stosw","","01"
"Nasm","AC00","00000","01","AC","lodsb","","01"
"Nasm","AD00","00000","01","AD","lodsw","","01"
"Nasm","AE00","00000","01","AE","scasb","","01"
"Nasm","AF00","00000","01","AF","scasw","","01"
"Nasm","B000","00000","02","B000","mov","al,0x0","00"
"Nasm","B100","00000","02","B100","mov","cl,0x0","00"
"Nasm","B200","00000","02","B200","mov","dl,0x0","00"
"Nasm","B300","00000","02","B300","mov","bl,0x0","00"
"Nasm","B400","00000","02","B400","mov","ah,0x0","00"
"Nasm","B500","00000","02","B500","mov","ch,0x0","00"
"Nasm","B600","00000","02","B600","mov","dh,0x0","00"
"Nasm","B700","00000","02","B700","mov","bh,0x0","00"
"Nasm","B800","00000","01","B8","db","0xb8","01"
"Nasm","B900","00000","01","B9","db","0xb9","01"
"Nasm","BA00","00000","01","BA","db","0xba","01"
"Nasm","BB00","00000","01","BB","db","0xbb","01"
"Nasm","BC00","00000","01","BC","db","0xbc","01"
"Nasm","BD00","00000","01","BD","db","0xbd","01"
"Nasm","BE00","00000","01","BE","db","0xbe","01"
"Nasm","BF00","00000","01","BF","db","0xbf","01"
"Nasm","C000","00000","01","C0","db","0xc0","01"
"Nasm","C100","00000","01","C1","db","0xc1","01"
"Nasm","C200","00000","01","C2","db","0xc2","01"
"Nasm","C300","00000","01","C3","ret","","01"
"Nasm","C400","00000","02","C400","les","ax,[bx+si]","00"
"Nasm","C500","00000","02","C500","lds","ax,[bx+si]","00"
"Nasm","C600","00000","01","C6","db","0xc6","01"
"Nasm","C700","00000","01","C7","db","0xc7","01"
"Nasm","C800","00000","01","C8","db","0xc8","01"
"Nasm","C900","00000","01","C9","leave","","01"
"Nasm","CA00","00000","01","CA","db","0xca","01"
"Nasm","CB00","00000","01","CB","retf","","01"
"Nasm","CC00","00000","01","CC","int3","","01"
"Nasm","CD00","00000","02","CD00","int","0x0","00"
"Nasm","CE00","00000","01","CE","into","","01"
"Nasm","CF00","00000","01","CF","iret","","01"
"Nasm","D000","00000","02","D000","rol","byte [bx+si],1","00"
"Nasm","D100","00000","02","D100","rol","word [bx+si],1","00"
"Nasm","D200","00000","02","D200","rol","byte [bx+si],cl","00"
"Nasm","D300","00000","02","D300","rol","word [bx+si],cl","00"
"Nasm","D400","00000","02","D400","aam","0x0","00"
"Nasm","D500","00000","02","D500","aad","0x0","00"
"Nasm","D600","00000","01","D6","salc","","01"
"Nasm","D700","00000","01","D7","xlatb","","01"
"Nasm","D800","00000","02","D800","fadd","dword [bx+si]","00"
"Nasm","D900","00000","02","D900","fld","dword [bx+si]","00"
"Nasm","DA00","00000","02","DA00","fiadd","dword [bx+si]","00"
"Nasm","DB00","00000","02","DB00","fild","dword [bx+si]","00"
"Nasm","DC00","00000","02","DC00","fadd","qword [bx+si]","00"
